clm_parameter,fates_parameter,min,max,units,dim,group,description
none,fates_alloc_storage_cushion,50percent,50percent,fraction,pft,allocation,maximum size of storage C pool
none,fates_allom_agb_frac,50percent,1,fraction,pft,allometry,Fraction of woody biomass that is above ground
none,fates_allom_agb1,50percent,50percent,variable,pft,allometry,Parameter 1 for agb allometry
none,fates_allom_agb2,50percent,50percent,variable,pft,allometry,Parameter 2 for agb allometry
none,fates_allom_agb3,50percent,50percent,variable,pft,allometry,Parameter 3 for agb allometry
none,fates_allom_agb4,0.8,1.0,variable,pft,allometry,Parameter 4 for agb allometry
none,fates_allom_blca_expnt_diff,-0.5,0,unitless,pft,allometry,difference between allometric DBH:bleaf and DBH:crown area exponents
none,fates_allom_d2bl1,50percent,50percent,variable,pft,allometry,Parameter 1 for d2bl allometry
none,fates_allom_d2bl2,1.0,2.0,variable,pft,allometry,Parameter 2 for d2bl allometry
none,fates_allom_d2bl3,50percent,50percent,unitless,pft,allometry,Parameter 3 for d2bl allometry
none,fates_allom_d2ca_coefficient_max,50percent,50percent,m2 cm^(-1/beta),pft,allometry,max (savanna) dbh to area multiplier factor where: area = n*d2ca_coeff*dbh^beta
none,fates_allom_d2ca_coefficient_min,50percent,0percent,m2 cm^(-1/beta),pft,allometry,min (forest) dbh to area multiplier factor where: area = n*d2ca_coeff*dbh^beta
none,fates_allom_d2h1,50percent,50percent,variable,pft,allometry,Parameter 1 for d2h allometry (intercept
none,fates_allom_d2h2,50percent,50percent,variable,pft,allometry,Parameter 2 for d2h allometry (slope
none,fates_allom_dbh_maxheight,50percent,50percent,cm,pft,allometry,the diameter (if any) corresponding to maximum height
none,fates_allom_frbstor_repro,0.1,1,fraction,pft,allometry,fraction of bstore goes to reproduction after plant dies
froot_leaf,fates_allom_l2fr,50percent,50percent,gC/gC,pft,allometry,Allocation parameter: fine root C per leaf C
none,fates_allom_la_per_sa_int,50percent,50percent,m2/cm2,pft,allometry,Leaf area per sapwood area
