,pct_veg,gridcell,pft,biome
0,1.7407437717658896,0,not_vegetated,5.0
1,0.0,0,needleleaf_evergreen_temperate_tree,5.0
2,10.32669793541798,0,needleleaf_evergreen_boreal_tree,5.0
3,3.469446951953614e-18,0,needleleaf_deciduous_boreal_tree,5.0
4,0.0,0,broadleaf_evergreen_tropical_tree,5.0
5,16.877039472315474,0,broadleaf_evergreen_temperate_tree,5.0
6,0.0,0,broadleaf_deciduous_tropical_tree,5.0
7,0.0,0,broadleaf_deciduous_temperate_tree,5.0
8,35.60004223453148,0,broadleaf_deciduous_boreal_tree,5.0
9,0.0,0,broadleaf_evergreen_shrub,5.0
10,0.0,0,broadleaf_deciduous_temperate_shrub,5.0
11,0.029304856390084566,0,broadleaf_deciduous_boreal_shrub,5.0
12,35.42428643732276,0,c3_arctic_grass,5.0
13,0.0,0,c3_non-arctic_grass,5.0
14,0.0,0,c4_grass,5.0
15,0.0018640994965637295,0,c3_crop,5.0
16,0.0,0,c3_irrigated,5.0
0,4.163986860461532,1,not_vegetated,4.0
1,0.0,1,needleleaf_evergreen_temperate_tree,4.0
2,20.313195206053532,1,needleleaf_evergreen_boreal_tree,4.0
3,0.00473281639888962,1,needleleaf_deciduous_boreal_tree,4.0
4,0.0,1,broadleaf_evergreen_tropical_tree,4.0
5,7.062909028040572,1,broadleaf_evergreen_temperate_tree,4.0
6,0.0,1,broadleaf_deciduous_tropical_tree,4.0
7,0.0,1,broadleaf_deciduous_temperate_tree,4.0
8,24.653201257081182,1,broadleaf_deciduous_boreal_tree,4.0
9,0.0,1,broadleaf_evergreen_shrub,4.0
10,0.0,1,broadleaf_deciduous_temperate_shrub,4.0
11,0.29404099931455546,1,broadleaf_deciduous_boreal_shrub,4.0
12,40.439264849165234,1,c3_arctic_grass,4.0
13,0.0,1,c3_non-arctic_grass,4.0
14,0.0,1,c4_grass,4.0
15,0.0686689834844239,1,c3_crop,4.0
16,0.0,1,c3_irrigated,4.0
0,0.19372570293303534,2,not_vegetated,5.0
1,0.0,2,needleleaf_evergreen_temperate_tree,5.0
2,1.877859901061,2,needleleaf_evergreen_boreal_tree,5.0
3,0.0,2,needleleaf_deciduous_boreal_tree,5.0
4,0.0,2,broadleaf_evergreen_tropical_tree,5.0
5,12.58658899786027,2,broadleaf_evergreen_temperate_tree,5.0
6,0.0,2,broadleaf_deciduous_tropical_tree,5.0
7,0.0,2,broadleaf_deciduous_temperate_tree,5.0
8,4.678960592609934,2,broadleaf_deciduous_boreal_tree,5.0
9,0.0,2,broadleaf_evergreen_shrub,5.0
10,0.0,2,broadleaf_deciduous_temperate_shrub,5.0
11,0.04202048845052919,2,broadleaf_deciduous_boreal_shrub,5.0
12,80.62082312431949,2,c3_arctic_grass,5.0
13,0.0,2,c3_non-arctic_grass,5.0
14,0.0,2,c4_grass,5.0
15,0.0,2,c3_crop,5.0
16,0.0,2,c3_irrigated,5.0
0,14.079118894054208,3,not_vegetated,6.0
1,1.1645489461642455e-08,3,needleleaf_evergreen_temperate_tree,6.0
2,0.25046659428088525,3,needleleaf_evergreen_boreal_tree,6.0
3,7.1530988011408405e-09,3,needleleaf_deciduous_boreal_tree,6.0
4,0.0,3,broadleaf_evergreen_tropical_tree,6.0
5,3.4801542698479118,3,broadleaf_evergreen_temperate_tree,6.0
6,0.0,3,broadleaf_deciduous_tropical_tree,6.0
7,9.229382262310182e-05,3,broadleaf_deciduous_temperate_tree,6.0
